,organization_element,education_element,radiologist_id
39,Letterman Army Medical Center,Residency,/doctors/steven-henderson-445804
42,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/steven-kapelov-380554
43,Kaiser Permanente Northern California,Residency,/doctors/steven-kapelov-380554
44,Barrow Neurological Institute at St Josephs Hospital and Medical Center,Internship,/doctors/karthik-kumar-943097
45,Barrow Neurological Institute at St Josephs Hospital and Medical Center,Residency,/doctors/karthik-kumar-943097
46,Temple University Hospital,Residency,/doctors/karthik-kumar-943097
47,Drexel University College of Medicine/Hahnemann University,Residency,/doctors/karthik-kumar-943097
50,University of South Florida Morsani College of Medicine,Residency,/doctors/giang-nguyen-490077
51,University of South Florida Morsani College of Medicine,Internship,/doctors/giang-nguyen-490077
52,University of Maryland Program,Residency,/doctors/robert-sitarz-622057
53,Advocate Health Care,Residency,/doctors/robert-sitarz-622057
55,University of Southern California/LACUSC Medical Center,Residency,/doctors/dale-sue-24941
56,University of Southern California/LACUSC Medical Center,Residency,/doctors/dale-sue-24941
57,Adventist Health White Memorial,Residency,/doctors/dale-sue-24941
58,Cedars-Sinai Medical Center,Residency,/doctors/caroline-moss-518113
59,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/caroline-moss-518113
60,Henry Ford Hospital,Internship,/doctors/caroline-moss-518113
61,University of Missouri-Columbia School of Medicine,Residency,/doctors/caroline-moss-518113
62,University of Nevada Reno School of Medicine,Internship,/doctors/caroline-moss-518113
65,Cedars-Sinai Medical Center,Residency,/doctors/caroline-moss-518113
66,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/caroline-moss-518113
67,Henry Ford Hospital,Residency,/doctors/caroline-moss-518113
68,University of Missouri-Columbia School of Medicine,Internship,/doctors/caroline-moss-518113
69,University of Nevada Reno School of Medicine,Residency,/doctors/caroline-moss-518113
72,University of Southern California/LACUSC Medical Center,Residency,/doctors/gail-schlesinger-536064
73,Kaiser Permanente Northern California,Residency,/doctors/gail-schlesinger-536064
78,University of Southern California/LACUSC Medical Center,Fellowship,/doctors/michael-litwin-483202
79,University of Miami/Jackson Health System,Residency,/doctors/michael-litwin-483202
80,University of Southern California/LACUSC Medical Center,Residency,/doctors/michael-litwin-483202
81,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/kevin-spitler-988991
82,Carle Foundation Hospital,Residency,/doctors/kevin-spitler-988991
84,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/kevin-spitler-988991
85,Carle Foundation Hospital,Residency,/doctors/kevin-spitler-988991
102,Los Angeles County-Harbor-UCLA Medical Center,Residency,/doctors/haleh-ahdoot-673971
103,VA Greater Los Angeles Healthcare System,Internship,/doctors/haleh-ahdoot-673971
110,Yale-New Haven Hospital,"Residency, Radiology",/doctors/stephen-rothman-740660
111,Icahn School of Medicine at Mount Sinai,Fellowship,/doctors/stephen-rothman-740660
117,Loma Linda University Health Education Consortium,Fellowship,/doctors/stewart-fordham-34719
118,Huntington Memorial Hospital,Residency,/doctors/stewart-fordham-34719
119,University of Southern California/LACUSC Medical Center,Internship,/doctors/stewart-fordham-34719
120,University of Southern California/LACUSC Medical Center,Residency,/doctors/stewart-fordham-34719
124,University of California (San Francisco) School of Medicine,Fellowship,/doctors/linh-chen-697
125,St Marys Hospital and Medical Center,Residency,/doctors/linh-chen-697
126,University of California (San Francisco) School of Medicine,Internship,/doctors/linh-chen-697
127,St Marys Hospital and Medical Center,Residency,/doctors/linh-chen-697
128,David Geffen School of Medicine at UCLA,Residency,/doctors/christina-ma-1433169
129,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/taylor-choy-998263
130,University of Hawaii John A Burns School of Medicine,Internship,/doctors/taylor-choy-998263
131,University of Hawaii John A Burns School of Medicine,Residency,/doctors/taylor-choy-998263
132,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/alexander-rende-892685
133,St Vincent Hospital,Residency,/doctors/alexander-rende-892685
134,St Joseph Mercy-Oakland,Internship,/doctors/alexander-rende-892685
138,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/alexander-rende-892685
139,St Vincent Hospital,Internship,/doctors/alexander-rende-892685
140,St Joseph Mercy-Oakland,Fellowship,/doctors/alexander-rende-892685
144,University of Southern California/LACUSC Medical Center,Residency,/doctors/michael-stecker-774919
145,University of Southern California/LACUSC Medical Center,Residency,/doctors/michael-stecker-774919
146,University of Iowa Hospitals and Clinics,Internship,/doctors/michael-stecker-774919
147,Brigham and Womens Hospital,Residency,/doctors/stephen-fierstien-312647
148,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/stephen-fierstien-312647
149,University of California (San Francisco) School of Medicine,Residency,/doctors/stephen-fierstien-312647
150,University of Southern California - LAC+USC Medical Center,Residency,/doctors/gail-portanova-1072207
151,University of Southern California - LAC+USC Medical Center,Internship,/doctors/gail-portanova-1072207
152,University of Puerto Rico School of Medicine,Residency,/doctors/heidy-rodriguez-463215
153,VA Caribbean Healthcare System,Internship,/doctors/heidy-rodriguez-463215
156,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/tyson-hadduck-884406
157,Arrowhead Regional Medical Center,Residency,/doctors/tyson-hadduck-884406
159,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/tyson-hadduck-884406
160,Arrowhead Regional Medical Center,Internship,/doctors/tyson-hadduck-884406
162,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/stellios-karnezis-729807
163,University of California (Irvine),Residency,/doctors/stellios-karnezis-729807
164,Arrowhead Regional Medical Center,Internship,/doctors/stellios-karnezis-729807
165,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/lucy-chow-942155
166,University of California Davis Health,Residency,/doctors/lucy-chow-942155
167,UPMC Medical Education,Residency,/doctors/rohit-dewan-933227
168,University of California (Irvine),Other Training,/doctors/rohit-dewan-933227
170,UPMC Medical Education,Other Training,/doctors/rohit-dewan-933227
171,University of California (Irvine),Fellowship,/doctors/rohit-dewan-933227
173,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/reza-jahan-779625
174,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/reza-jahan-779625
175,UCLA David Geffen School of Medicine/UCLA Medical Center,Fellowship,/doctors/reza-jahan-779625
176,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/stephanie-lee-felker-730921
177,UCLA David Geffen School of Medicine/UCLA Medical Center,Fellowship,/doctors/stephanie-lee-felker-730921
178,NYU Grossman School of Medicine,Residency,/doctors/stephanie-lee-felker-730921
179,NYU Grossman School of Medicine,Residency,/doctors/stephanie-lee-felker-730921
180,Massachusetts General Hospital,Internship,/doctors/david-lu-866786
183,Massachusetts General Hospital,Fellowship,/doctors/david-lu-866786
186,McGaw Medical Center of Northwestern University,Fellowship,/doctors/siddharth-padia-671428
187,Cleveland Clinic Foundation,Residency,/doctors/siddharth-padia-671428
188,University of Hawaii John A Burns School of Medicine,Internship,/doctors/siddharth-padia-671428
193,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/noriko-salamon-741371
194,McGaw Medical Center of Northwestern University,Residency,/doctors/noriko-salamon-741371
196,UCLA David Geffen School of Medicine/UCLA Medical Center,Fellowship,/doctors/bryan-yoo-635807
197,Virginia Mason Franciscan Health,Residency,/doctors/bryan-yoo-635807
199,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/hassana-ibrahim-639396
200,Los Angeles County-Harbor-UCLA Medical Center,"Internship, Los Angeles County-Harbor-UCLA Medical Center",/doctors/hassana-ibrahim-639396
206,Los Angeles County-Harbor-UCLA Medical Center,Fellowship,/doctors/christine-khong-mcbride-2768379
207,St Mary Medical Center,Residency,/doctors/christine-khong-mcbride-2768379
208,Childrens Hospital Los Angeles,Residency,/doctors/melissa-debayle-666199
209,"Mount Sinai Medical Center of Florida, Inc",Internship,/doctors/melissa-debayle-666199
210,University of Miami/Jackson Health System,Fellowship,/doctors/melissa-debayle-666199
218,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/lawrence-bassett-24601
219,UCLA David Geffen School of Medicine/UCLA Medical Center,Fellowship,/doctors/lawrence-bassett-24601
220,Allegheny Health Network Medical Education Consortium,Fellowship,/doctors/katrina-beckett-730326
221,Allegheny Health Network Medical Education Consortium,Chief Residency,/doctors/katrina-beckett-730326
224,UCLA David Geffen School of Medicine/UCLA Medical Center,Fellowship,/doctors/vinika-chaudhari-652478
225,Kaiser Permanente Southern California,Fellowship,/doctors/vinika-chaudhari-652478
226,UCLA David Geffen School of Medicine/UCLA Medical Center,Chief Residency,/doctors/rinat-masamed-650794
227,Cedars-Sinai Medical Center,Residency,/doctors/rinat-masamed-650794
228,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/rinat-masamed-650794
229,Cedars-Sinai Medical Center,Fellowship,/doctors/rinat-masamed-650794
230,UCLA David Geffen School of Medicine/UCLA Medical Center,Fellowship,/doctors/sonal-amin-649488
231,Montefiore Medical Center/Albert Einstein College of Medicine,"Residency, Montefiore Medical Center/Albert Einstein College of Medicine",/doctors/sonal-amin-649488
232,Olive View/UCLA Medical Center,Residency,/doctors/sonal-amin-649488
233,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/john-bentson-446755
234,University of Wisconsin Hospitals and Clinics,Fellowship,/doctors/john-bentson-446755
235,M Health Fairview,Fellowship,/doctors/john-bentson-446755
236,Icahn School of Medicine at Mount Sinai,Residency,/doctors/stephen-bliss-344244
239,Icahn School of Medicine at Mount Sinai,Internship,/doctors/stephen-bliss-344244
242,University of Arizona College of Medicine-Tucson,Internship,/doctors/ali-borghei-663530
243,"Charles R Drew University of Medicine and Science, College of Medicine","Internship, Charles R Drew University of Medicine and Science, College of Medicine",/doctors/ali-borghei-663530
244,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/kathleen-brown-443861
245,Cedars-Sinai Medical Center,Internship,/doctors/kathleen-brown-443861
246,VA Greater Los Angeles Healthcare System,"Residency, UCLA-VA Greater Los Angeles",/doctors/kathleen-brown-443861
247,UCLA David Geffen School of Medicine/UCLA Medical Center,"Residency, UCLA David Geffen School of Medicine/UCLA Medical Center",/doctors/premwadee-chantra-432874
248,Louisiana State University School of Medicine,Fellowship,/doctors/premwadee-chantra-432874
249,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/premwadee-chantra-432874
250,Louisiana State University School of Medicine,Internship,/doctors/premwadee-chantra-432874
251,Kaiser Permanente Southern California,"Residency, Kaiser Permanente Southern California (Los Angeles)",/doctors/sachiko-cochran-431224
252,University of Southern California/LACUSC Medical Center,Other Training,/doctors/sachiko-cochran-431224
253,Yale-New Haven Hospital,Residency,/doctors/richard-gold-347415
254,Pennsylvania Hospital (UPHS),Residency,/doctors/richard-gold-347415
255,Presbyterian Medical Center (UPHS),Internship,/doctors/richard-gold-347415
256,Stanford Health Care,Fellowship,/doctors/michael-kuo-78303
257,St Joseph Medical Center,Residency,/doctors/michael-kuo-78303
258,Albert Einstein Healthcare Network,Chief Residency,/doctors/kambiz-motamedi-344463
259,Graduate Hospital Philadelphia,Internship,/doctors/kambiz-motamedi-344463
267,Massachusetts General Hospital,Residency,/doctors/richard-steckel-448921
268,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/richard-steckel-448921
269,Orange County Medical Center,Residency,/doctors/michael-zucker-512168
270,VA Greater Los Angeles Healthcare System,Internship,/doctors/michael-zucker-512168
271,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/michael-lalezarian-887373
274,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/viktor-szeder-564141
275,"Columbia University, Mailman School of Public Health",Internship,/doctors/viktor-szeder-564141
276,Columbia University Vagelos College of Physicians and Surgeons,Residency,/doctors/viktor-szeder-564141
277,New York Presbyterian Hospital,Residency,/doctors/viktor-szeder-564141
278,"Medical College of Wisconsin Affiliated Hospitals, Inc",Residency,/doctors/viktor-szeder-564141
279,"Medical College of Wisconsin Affiliated Hospitals, Inc",Other Training,/doctors/viktor-szeder-564141
280,"Medical College of Wisconsin Affiliated Hospitals, Inc",Residency,/doctors/viktor-szeder-564141
283,New York Presbyterian Hospital,Residency,/doctors/osama-elbuluk-1236012
284,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/osama-elbuluk-1236012
286,New York Presbyterian Hospital,Internship,/doctors/osama-elbuluk-1236012
287,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/osama-elbuluk-1236012
289,University of Southern California/LACUSC Medical Center,Residency,/doctors/charles-li-1164218
290,Kaiser Permanente Southern California,Internship,/doctors/charles-li-1164218
291,Santa Barbara Cottage Hospital,Fellowship,/doctors/michael-nguyen-607287
292,Creighton University School of Medicine,Chief Residency,/doctors/michael-nguyen-607287
293,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/whitney-pope-422493
294,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/whitney-pope-422493
295,VA Greater Los Angeles Healthcare System,Residency,/doctors/whitney-pope-422493
296,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/whitney-pope-422493
297,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/whitney-pope-422493
298,VA Greater Los Angeles Healthcare System,"Internship, UCLA-VA Greater Los Angeles",/doctors/whitney-pope-422493
299,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/kathleen-ruchalski-670602
300,Georgetown University Hospital,Internship,/doctors/kathleen-ruchalski-670602
302,UCLA David Geffen School of Medicine/UCLA Medical Center,"Residency, UCLA David Geffen School of Medicine/UCLA Medical Center",/doctors/marcus-van-477676
303,Mayo Clinic College of Medicine and Science,Other Training,/doctors/marcus-van-477676
304,Drexel University College of Medicine/Hahnemann University,Fellowship,/doctors/roger-kerr-299524
307,Drexel University College of Medicine/Hahnemann University,"Residency, Drexel University College of Medicine/Hahnemann University Hospital",/doctors/roger-kerr-299524
310,University of California (San Francisco) School of Medicine,Internship,/doctors/denise-aberle-24574
311,UCLA David Geffen School of Medicine/UCLA Medical Center,Fellowship,/doctors/denise-aberle-24574
312,UCLA David Geffen School of Medicine/UCLA Medical Center,Fellowship,/doctors/denise-aberle-24574
313,Boston University Medical Center,Residency,/doctors/denise-aberle-24574
314,University of Kansas School of Medicine,Internship,/doctors/denise-aberle-24574
315,University of Kansas School of Medicine,Fellowship,/doctors/denise-aberle-24574
316,Stanford Health Care,Residency,/doctors/dieter-enzmann-335790
319,Childrens Hospital Los Angeles,Residency,/doctors/theodore-hall-445631
320,Montefiore Medical Center/Albert Einstein College of Medicine,Residency,/doctors/theodore-hall-445631
321,Montefiore Medical Center/Albert Einstein College of Medicine,Residency,/doctors/theodore-hall-445631
322,Atlantic Health System,Residency,/doctors/theodore-hall-445631
323,Childrens Hospital Los Angeles,Internship,/doctors/theodore-hall-445631
324,Montefiore Medical Center/Albert Einstein College of Medicine,Fellowship,/doctors/theodore-hall-445631
325,Montefiore Medical Center/Albert Einstein College of Medicine,Residency,/doctors/theodore-hall-445631
326,Atlantic Health System,Internship,/doctors/theodore-hall-445631
327,"John Crues, MD at Beverly Radiology Radnet",Fellowship,/doctors/andrew-thierry-644220
328,Beaumont Health,Residency,/doctors/andrew-thierry-644220
329,Beaumont Health,Internship,/doctors/andrew-thierry-644220
330,Michigan State University College of Human Medicine,Residency,/doctors/andrew-thierry-644220
331,,Internship,/doctors/andrew-thierry-644220
333,"Charles R Drew University of Medicine and Science, College of Medicine",Residency,/doctors/anne-glaser-142196
334,University of Southern California/LACUSC Medical Center,Residency,/doctors/anne-glaser-142196
335,UCLA David Geffen School of Medicine/UCLA Medical Center,Fellowship,/doctors/anne-glaser-142196
336,Emory University School of Medicine,Residency,/doctors/anne-glaser-142196
364,Childrens Hospital Los Angeles,Residency,/doctors/johnathan-chen-729845
365,University of Virginia Medical Center,Internship,/doctors/johnathan-chen-729845
366,Los Angeles County-Harbor-UCLA Medical Center,"Chief Residency, Radiology",/doctors/johnathan-chen-729845
367,Los Angeles County-Harbor-UCLA Medical Center,Residency,/doctors/johnathan-chen-729845
368,Flushing Hospital Medical Center,Residency,/doctors/johnathan-chen-729845
370,Childrens Hospital Los Angeles,Residency,/doctors/johnathan-chen-729845
371,University of Virginia Medical Center,Fellowship,/doctors/johnathan-chen-729845
372,Los Angeles County-Harbor-UCLA Medical Center,Residency,/doctors/johnathan-chen-729845
373,Los Angeles County-Harbor-UCLA Medical Center,Residency,/doctors/johnathan-chen-729845
374,Flushing Hospital Medical Center,Residency,/doctors/johnathan-chen-729845
376,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/john-moriarty-815024
377,UCLA David Geffen School of Medicine/UCLA Medical Center,Fellowship,/doctors/john-moriarty-815024
378,Other,Residency,/doctors/john-moriarty-815024
379,Los Angeles County-Harbor-UCLA Medical Center,Internship,/doctors/benjamin-plotkin-804488
380,St Mary Medical Center,Residency,/doctors/benjamin-plotkin-804488
382,Johns Hopkins University School of Medicine,Residency,/doctors/diego-davila-622256
383,University of Southern California/LACUSC Medical Center,Internship,/doctors/diego-davila-622256
384,Cedars-Sinai Medical Center,Fellowship,/doctors/diego-davila-622256
385,New York Downtown Hospital,Residency,/doctors/diego-davila-622256
388,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/omid-kohannim-1375575
389,Olive View/UCLA Medical Center,Residency,/doctors/omid-kohannim-1375575
390,David Geffen School of Medicine at UCLA,Residency,/doctors/omid-kohannim-1375575
392,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/omid-kohannim-1375575
393,Olive View/UCLA Medical Center,Internship,/doctors/omid-kohannim-1375575
394,David Geffen School of Medicine at UCLA,Residency,/doctors/omid-kohannim-1375575
396,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/steven-plimpton-1181096
397,Legacy Health,Internship,/doctors/steven-plimpton-1181096
398,"University of California, Irvine, School of Medicine",Residency,/doctors/steven-plimpton-1181096
399,University of Pennsylvania,Internship,/doctors/steven-plimpton-1181096
401,Stanford Health Care,Internship,/doctors/frank-kuo-1069408
402,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/frank-kuo-1069408
403,Virginia Mason Franciscan Health,Residency,/doctors/frank-kuo-1069408
404,University of Miami Leonard M. Miller School of Medicine,Internship,/doctors/frank-kuo-1069408
405,Clinical Center at the National Institutes of Health,Residency,/doctors/frank-kuo-1069408
407,UCLA Medical Center,Internship,/doctors/megan-sue-1054226
408,UCLA Medical Center,Residency,/doctors/megan-sue-1054226
409,Harbor - UCLA Medical Center,Internship,/doctors/megan-sue-1054226
410,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/gary-tse-882483
411,University of California Davis Health,Residency,/doctors/gary-tse-882483
412,University of California Davis Health,Internship,/doctors/gary-tse-882483
413,University of Hawaii John A Burns School of Medicine,Residency,/doctors/gary-tse-882483
414,Georgetown University School of Medicine,Internship,/doctors/gary-tse-882483
415,University of Michigan Health System,Residency,/doctors/andrew-zhang-913851
417,University of Michigan Health System,Internship,/doctors/andrew-zhang-913851
419,Albert Einstein Medical Center,Residency,/doctors/patrick-ryan-809987
423,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/milos-cekic-941892
424,University of Miami/Jackson Health System,Internship,/doctors/milos-cekic-941892
425,Cedars-Sinai Medical Center,Residency,/doctors/milos-cekic-941892
427,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/james-collins-512572
428,University of Southern California/LACUSC Medical Center,Internship,/doctors/james-collins-512572
429,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/james-collins-512572
430,University of Southern California/LACUSC Medical Center,Residency,/doctors/james-collins-512572
431,UCLA Medical Center,Internship,/doctors/rebecca-dumont-walter-744798
432,Kaiser Permanente Southern California,Residency,/doctors/rebecca-dumont-walter-744798
433,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/ali-rastegarpour-1097773
434,Detroit Medical Center Corporation,Other Training,/doctors/ali-rastegarpour-1097773
435,New York Medical College,Residency,/doctors/ali-rastegarpour-1097773
441,UCLA Medical Center,Residency,/doctors/kevin-seals-895795
442,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/joseph-tesoriero-1076196
443,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/joseph-tesoriero-1076196
444,University of California Irvine Paul Merage School of Business,Internship,/doctors/joseph-tesoriero-1076196
448,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/jason-chiang-1210534
449,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/jason-chiang-1210534
450,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/kelsey-pomykala-1130044
451,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/leanne-seeger-347416
452,Virginia Mason Franciscan Health,Residency,/doctors/leanne-seeger-347416
453,University of Southern California/LACUSC Medical Center,Internship,/doctors/jerry-loo-745725
454,University of California (Irvine),Residency,/doctors/jerry-loo-745725
455,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/mikhail-roubakha-1181728
456,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/mikhail-roubakha-1181728
457,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/steven-kwong-1076696
458,California Pacific Medical Center,Fellowship,/doctors/steven-kwong-1076696
459,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/avetis-azizyan-904171
460,Cedars-Sinai Medical Center,Internship,/doctors/avetis-azizyan-904171
461,Cedars-Sinai Medical Center,Residency,/doctors/avetis-azizyan-904171
462,Alameda Health System-Highland Hospital,Internship,/doctors/avetis-azizyan-904171
463,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/tyler-callese-1420207
464,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/tyler-callese-1420207
465,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/tyler-callese-1420207
466,Wake Forest School of Medicine of Wake Forest Baptist Medical Center,Residency,/doctors/tyler-callese-1420207
467,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/tyler-callese-1420207
468,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/tyler-callese-1420207
469,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/tyler-callese-1420207
470,Wake Forest School of Medicine of Wake Forest Baptist Medical Center,Internship,/doctors/tyler-callese-1420207
471,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/gary-duckwiler-24686
472,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/gary-duckwiler-24686
473,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/gary-duckwiler-24686
474,Los Angeles County-Harbor-UCLA Medical Center,Internship,/doctors/gary-duckwiler-24686
475,David Geffen School of Medicine at UCLA,Residency,/doctors/gary-duckwiler-24686
477,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/nicholas-galloway-1367360
478,Vanderbilt University Medical Center,Fellowship,/doctors/nicholas-galloway-1367360
479,Kettering Health Network,Residency,/doctors/nicholas-galloway-1367360
483,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/shahnaz-ghahremani-koureh-717958
484,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/shahnaz-ghahremani-koureh-717958
485,University of California Davis Health,Residency,/doctors/behrad-golshani-937338
486,Aurora Health Care,Internship,/doctors/behrad-golshani-937338
490,University of Minnesota Medical School,Residency,/doctors/antoinette-gomes-24733
491,Stanford Health Care,Internship,/doctors/antoinette-gomes-24733
492,University of Southern California/LACUSC Medical Center,Residency,/doctors/antoinette-gomes-24733
493,University of Southern California/LACUSC Medical Center,Residency,/doctors/antoinette-gomes-24733
495,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/zachary-haber-1496955
496,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/zachary-haber-1496955
497,UCLA David Geffen School of Medicine/UCLA Medical Center,Fellowship,/doctors/zaid-haddadin-1191160
498,New York Presbyterian Hospital,Residency,/doctors/frank-hao-1081589
499,Boston University Medical Center,Internship,/doctors/frank-hao-1081589
501,Stanford Health Care,Residency,/doctors/ronald-homer-406744
502,Stanford Health Care,Residency,/doctors/ronald-homer-406744
503,Stanford Health Care,Residency,/doctors/ronald-homer-406744
523,Stanford Health Care,Internship,/doctors/ronald-homer-406744
524,Stanford Health Care,Residency,/doctors/ronald-homer-406744
525,Stanford Health Care,Internship,/doctors/ronald-homer-406744
545,University at Buffalo School of Medicine,Internship,/doctors/zain-izhar-2481233
546,Los Angeles County-Harbor-UCLA Medical Center,Residency,/doctors/zain-izhar-2481233
547,Kansas City University of Medicine and Biosciences College of Osteopathic Medicine,Medical School,/doctors/zain-izhar-2481233
548,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/neema-jamshidi-733513
549,University of California (San Diego) Medical Center,Residency,/doctors/neema-jamshidi-733513
550,University of Utah Health,Internship,/doctors/luke-ledbetter-686334
551,University of Kansas School of Medicine,Fellowship,/doctors/luke-ledbetter-686334
552,St Louis University School of Medicine,Residency,/doctors/luke-ledbetter-686334
556,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/edward-lee-57413
557,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/edward-lee-57413
558,Arrowhead Regional Medical Center,Internship,/doctors/edward-lee-57413
